episode_id,title,description
94562a67-3cbf-4e00-b3a0-b2d90cc1a618,Домашние тренировки,"С чего начать, для чего нужны, какая польза и как прогрессировать в домашних тренировках.


Если откликается — слушайте на здоровье и для здоровья.

Без спешки и без необходимости что-то сразу менять.


Школа здоровья — это про поддержку, понятную систему

и осознанный контроль

на пути к здоровью и комфортному самочувствию.


Основное сообщество"
9284c683-20ab-4da6-8657-c3c9db418f5e,Пилотный выпуск,"Всем привет и добро пожаловать на наш пилотный выпуск! Мы - подкаст QOLDA, который направлен на поддержку женщин, которые работают в самых разных сферах. Устоявшиеся рамки и представления о том, что женщина должна и не должна делать мешают нам жить и свободно мыслить. Здесь мы будем говорить с представительницами самых разных профессий: от"
5accede2-233a-4901-9f4d-6d7561edd42f,Два мнения | Веганство (обо всём и ни о чём ч.2),"Веганство — наиболее строгая форма вегетарианства, максимально исключающая использование продуктов, полученных путём эксплуатации и убийства животных.

Поболтали немного про веганство и всё такое.

Слушайте подкаст, делитесь подкастом с друзьями, подписывайтесь на нас в социальных сетях. 

Если у вас предложение о сотрудничестве, пишите на"
1efee159-a5dd-422a-afb0-f867a181565a,Премиум новой волны: Ресурсный тест EXEED RX,Амбициозную задачу развивать успех в устоявшемся за десятилетия премиальном сегменте авторынка ставит перед собой марка EXEED. Журнал «Автопанорама» проводит Ресурсный тест одной из самых выразительных моделей бренда — кросс-купе EXEED RX
8d75094a-d2f6-485d-857b-5812458377ab,Сказка Теремок аудио (RaabStudio),Сказка Теремок аудио (RaabStudio) by RaabStudio (озвучивание / voiceovers)
d492e82c-b95d-4718-afc4-b25df3814505,"И если вы уже на месте, то с чего начинать?","В первое время после переезда многие могут испытывать чувства тоски и угнетения, когда не согревают даже самые яркие огни Тайм Сквер. Делюсь парой идей, которые я бы посоветовала себе 10 лет назад. Возможно, эти идеи будут полезны и вам."
8f86434f-138b-403e-8fad-5867d777b8d1,Варган,"Книга Дмитрия Файнштейна «Не вовремя», озвученная автором"
fdcc8072-f7cd-43c4-8c4a-15077809e879,Слово редактора,"Порой кажется, что зима будет длиться вечно: суровые морозы и вьюги могут утомить даже самого заядлого путешественника, особенно если он привык к удобству современного мегаполиса. Но пока большая часть населения северных стран спасается от стужи в теплых домах, кто-то ежедневно бросает вызов самому себе."
62dd8462-a5ec-4045-aaa3-b2a315e6a8c1,В какое время принимать витамины и минералы,В какое время принимать витамины и минералы - давайте поговорим об этом )
3af63f1b-137c-499f-bf60-00ecd3908379,Почему у собак холодный и мокрый нос,Информация о разном и обо всем
ec2dfd35-6b60-4bc7-b235-69293f31ab4d,SOUEAST S09: Философия легкости,"Минувшей осенью в Россию официально пришел китайский автомобильный бренд SOUEAST. Его отличает от конкурентов наличие системы полного привода, классическая автоматическая коробка передач, 7-местная компоновка салона, 5-летняя гарантия, применение передовых технологий"
2b96b09b-ce1c-4eb7-b13a-78aa41bd7719,Видеоконференция с врачом из «красной зоны» и розыгрыш путевки на райский остров,"В российских компаниях стараются поддержать работников, которые хотят привиться от коронавируса"
9f0588bd-43e6-415c-b2fd-157c25e2acd0,"Эпизод №1 - ""Почему тело не худеет, даже когда ты все делаешь правильно""","Ты ешь “правильно”.
Ходишь на тренировки.
Пьёшь воду.
Но вес стоит.
И чем больше стараешься — тем меньше результата.

Знакомо?
Тогда этот выпуск — для тебя.

В нём я, Элина Истратова — врач, фитнес эксперт и специалист по женскому здоровью, — рассказываю:

  почему тело может “держать” вес, даже если всё делаешь правильно;
  как стресс и постоянный"
cffc4e34-70c5-4caa-9822-b15056c9aeaa,Итоги уходящего года,Ритуал Нового года обязывает радостно проводить год старый и начать счастливую жизнь в наступившем
45cde6a1-3eb7-4b92-b348-02d60a8275f1,Опавшие листья,"Как использовать опавшую листву на даче, в огороде, в саду?"
857fcf66-d0f0-4871-ba5d-6ce6716b38b3,"Выпуск 3. Книга ""Кафе на краю земли"" – Джон П. Стрелеки","Присоединяйся к нашему книжному клубу!


Здесь больше контента о мышлении, книгах и хобби

Телеграм - https://t.me/daniil_rane

Ютуб - https://www.youtube.com/@daniil_rane

Вконтакте - https://vk.com/daniil_rane"
920ae542-5732-49b8-babf-2c264fe6cee1,Людям о людях 04.07.22,Любопытные новости обо всем на свете.
84f04a20-a5ec-41f5-bde5-5b71d825ede8,Влияние стресса на иммунную систему,"Здоровье, иммунитет и долголетие"
db64ae6b-6ef0-4f9a-a809-088d7eb02234,ПРИНЦЫПЫ одного ТАКСИСТА,"Толковый словарь Ожегова, ПРИНЦИП - это:
1. Основное, исходное положение какой-н. теории, учения, мировоззрения, теоретической программы. Принципы науки. Эстетические принципы. 
2. Убеждение, взгляд на вещи. Держаться твёрдых принципов. Отказаться от чего-н. из принципа. 

3. Основная особенность в устройстве чего-н. Механизм действует по"
f46493d4-2293-49a7-b459-683c6b3e71dd,COVID-19 мутировал: теперь он перешел в разряд сезонных заболеваний,"Российские ученые полагают, что коронавирус стал сезонным заболеванием."
a4014294-a113-43c3-bbbb-7437da22149b,СТЕБУЧИЙ СЛУЧАЙ - выпуск 4,"1 - Необычная доставка: курьер висел на дереве до приезда спасателей.
2 - Комфортный кикшеринг с диваном на самокате за 800р.

3 - Квадроциклист после ДТП затеял драку на птицефабрике и был ограблен охранниками.

4 - Более сотни змей в штанах мужчины напугали таможенников.

5 - Пьяная мартышка дебоширила на улице, пятеро человек пострадали."
add0e869-b007-4d16-9623-254876023e7d,Медиакласс-подкаст: лето на все 100. Дом культуры,"Аудиоподкаст для школьников, которые летом остаются в Чебоксарах.

На улице уже вовсю летний вайб и уже совсем скоро прогремят выпускные и отчетники. Все ли кружки уходят на каникулы? Неужели в городе не останется интересных активностей?

Оказывается, в доме культуры ""Ровесник"" дети могут создать и озвучить собственный мультфильм, бабушки"
3344968c-386e-4fee-9a78-95ed8e3b302a,Поход в заброшенную деревню,"Страшная история о том, как мальчики решили сходить в соседнею заброшенную деревню, но потом их настигла участь.."
9a7b035c-1629-417d-adb9-0b0e3949a9d5,Lisa Weinstein: Preview,"We are joined today by Lisa Weinstein, who is a program officer at Wilburforce Foundation.  The Foundation builds strong and deep relationships with grantees, co-funders, scientists, and decision-makers to ensure long-term effectiveness. Lisa explains how the Wilburforce Foundation has created an innovative strategy to improve grantee capacity"
b4320596-2a0b-4372-821a-fbe89a7e293b,Свободный художник,"Век назад – 6 октября 1921 года – в Турине родился известный автомобильный стилист Джованни Микелотти, разработавший за свою карьеру более 1200 проектов машин. Это можно считать рекордом. Однако достоверной информации об этом человеке на удивление мало."
0debb227-ac4c-43e9-9a78-f2090380432b,Часть вторая. Глава вторая.Внедрение,"В которой Ицхак осуществляет внедрение. Омалисса попадает под арест, а потом омы отправляются в экспедицию на Чёртово Болото. Все выпуски в последней редакции на psycorr.ru"
f9f4e553-7279-4cd5-8fb3-d3d9edd3d101,Брутализм в квадрате,"Помню, как весной 2013 года на автосалоне в Нью-Йорке презентовали совершенно новый Jeep Cherokee. Вокруг автомобиля на стенде стояли журналисты и молча на него смотрели. Спустя какое-то время кто-то из зарубежных коллег произнес: «Они долго пытались его убить, и наконец им это удалось»"
3f54d1e0-53eb-4a9c-945b-410ff83229fa,Audi A6 e-Hybrid: Ложка дегтя,"Прежде Audi никогда не блистала подзаряжаемыми гибридами: по запасу хода они отставали от Mercedes-Benz, а по ощущениям от вождения не могли сравниться с BMW. Изменит ли ситуацию появление нового гибрида A6?"
76ca3e5c-3082-476b-9238-1fa1437466dd,5 вопросов ЛОР-врачу,"Вопросы от подписчиков:

Превентивная тонзиллэктомия при IgА нефропатии

Цитрусы и болезни горла

Гигиена носа у детей до 7 лет

Серная пробка от чего образуется

Какие часы у меня на руке"
0032e544-c9cc-4b0b-8fb4-785a9605a8df,0. Трейлер подкаста (Не)провинциалы,"Привет, на связи Лиза, и это мой подкаст (Не)провинциалы - подкаст об успешных людях из «провинции», для которых не только Москва город возможностей. 


Вместе с гостями мы ищем ответ на вопрос, можно ли себя реализовать в регионе или все же нужно переехать в столицу, и какой фактор становится ключевым в выборе между «уехать» или «остаться»."
e788a530-c682-4e48-9247-843a94ac5e3c,если хочешь стать богатым,прорыв в философии ! Найден компромис как быть богатым и попасть в рай
0d135d6c-338f-4055-a1bb-54e91390681c,Nữ tập gym nên bắt đầu từ đâu?,"Rất nhiều bạn nữ đã thấy lợi ích từ việc tập gym: giảm cân, tăng cân, tập gym tăng sức khỏe, điều chỉnh hình thể. Nhưng hầu như chưa biết rõ mình sẽ bắt đầu từ đâu với bộ môn Gym đầy hấp dẫn này để được một thân hình mơ ước. Nếu bạn đủ"
da14562b-1c8c-40f3-b915-f23a453540cb,Последний Lamborghini и DeLage D12: коллекционные авто на аукционе,"В выпуске рассказывается о двух редких автомобилях — последнем концепте Lamborghini Pregunto и первом доставленном клиенту DeLage D12, которые вскоре окажутся на аукционе"
7c9d11dc-461a-4466-8ef7-d6fad12c836e,Настоящая любовь существует? Оля Русскова. Мастер Перезагрузки.,Поговорим сегодня о настоящей любви и о нашей психики в этом феномене.
61c2a984-1275-494b-ab20-40ea566eafac,Тест-драйв Audi Q7. Чувство привыкания к Audi Q7,"Начну с конца. Известный факт: к хорошему быстро привыкаешь. Вот и мы с женой, поездив неделю на Audi Q7, вынуждены были пересесть обратно в свой автомобиль, между прочим, большой немецкий седан. Пересадка прошла почти успешно, если не считать того, что при попытке усадить ребенка в детское кресло супруга нехило приложилась головой о дверной"
7c724909-dbe4-49b9-a356-3864584831cb,"Пилотный выпуск. О чём подкаст, кто мы, чего ждать","Всем привет! Сегодня мы анонсируем подкаст и говорим о том, как он будет устроен. Делимся друг с другом мыслями о том, как сформировалась наша городская идентичность и какие у нас любимые места Москвы.


Вместе мы будем исследовать городскую среду, разбираться в истории градостроения и архитектуры, делиться личными историями. Присоединяйтесь"
a1b36474-b017-4c92-b7df-2434dc64f2ae,Пой мне ещё. Action Нero,"Дуэт Action hero заряжает неиссякаемым запасом милоты, путешествуя на своём фургоне и собирая песни о любви. Как это происходит и кому нужно — обсуждаем и добавляем ложку хтони, чтобы оставаться верными себе."
70753757-e1cf-422c-b61d-bc16b71abf94,ЖАЖДА СКОРОСТИ | Егор Эгрегор,"ЖАЖДА СКОРОСТИ

Гонщики гоняют, но не загоняются! Пришло время разогнать дурные мысли и немного поразгонять на темы:

— как скорость влияет на наше сознание
— чем отличаются гонщики Формулы-1 от обычных людей?
— можно ли научиться гонять?
— надо ли гонять или тише едешь-дальше будешь?
— как не стать блохами в банке и рабами своих убеждений?"
ea11aa18-fe13-410b-aade-80fee84772c1,"#3 Мини-курс ""Пищевая грамотность за час"" - Как сконструировать себе рацион на диете","Мини-курс из 4х лекций Пищевая грамотность за час! Можешь получить его бесплатно! Эта информация позволит тебе без диет, спорта и подсчета калорий - сбросить лишний вес!


Все мини-курсы, подарки и лайфхаки от моего канала - можно забрать здесь: https://zuev-konstantin.ru/2

Блоки лекций, которые тебе придется изучить:

▫️Откуда берется лишний"
bd0fd93c-8b5b-4655-a026-a22029151280,LADA Iskra: Разумная целесообразность,"LADA Iskra — одна из самых ожидаемых новинок российского авторынка. Разговоров о ней, предположений, домыслов было много. И вот первая встреча со знаковой для российского автопрома моделью"
0f559bf1-3526-4e04-a9d0-42809fd8989b,Теплообменники – что это?,"В новом выпуске нашего подкаста мы погружаемся в мир теплообменников – тех незаметных, но жизненно важных устройств, которые работают как легкие и сердце всей системы отопления и промышленности. Мы раскрываем ключевые аспекты: от выбора правильного типа – пластинчатые, кожухотрубные или паяные, до их сверхважного обслуживания. Узнайте, как"
11167b32-3490-4e7d-99a2-a8f718903590,OylanIQ,Аз жасап көп іс бітірудің 7 ұлы тәсілі.
df0caeaa-863c-4697-86a9-166f09e79739,Mini John Cooper Works: Кому погорячее?,"Хотя первый электрический Mini в исполнении John Cooper Works построен на новой платформе, чтобы получить значок JCW, он следует старой проверенной формуле: будь жестче, быстрее и агрессивнее"
6047949b-a4d0-466d-a6d8-640cf4955119,"#35 Провал реконструкции и вакцинации, прокуратура проверила главу Глазова, НЛО, ЧМЗ","В выпуске:
0:09 Уровень вакцинации как уровень доверия к власти
1:52 Прокуратура заинтересовалась бездействием главы Глазова
3:05 Реконструкция Кирова должна была уже закончиться, предварительно
4:02 Спасаемся от жары
4:49 В Глазове проблемы не только с опережающим  развитием, но и с фантазией
5:39 Отменять не мешки ворочать
6:57 ЧМЗ на Россия"
fcad2198-0977-4d42-a2bf-6d64250f3934,Голос. Жизнь. По-настоящему,Голос. Жизнь. По-настоящему»
47104fc9-a71e-4a5d-831b-88fd947c26c3,На районе. Oda Projesi,"Как создать пространство, в котором мирно сосуществуют богемная и дворовая жизнь? Ищем ответ в стамбульской квартире, ставшей центром притяжения для соседей и заодно ловим флешбеки из своего детства."
193b4d22-2109-441a-a835-74f469206736,"Что делать, если заправился плохим бензином или дизелем","Что делать, если заправился плохим бензином или дизелем. Экспертное мнение консультантов Тотек"
d46fbbc9-a2d5-4970-bf9c-e7dd6a310d97,"Hướng dẫn tập Gym để giảm cân, tăng cân, thể lực","Phần này dành cho bạn nữ mới đi tập gym nhé. Thật sự là không có giáo án nào chung cho tất cả mọi người. Người muốn giảm cân không thể tập giống người muốn tăng cân hay săn chắc. Nhưng gần như tất cả phụ nữ có một điểm chung đó là ""thể lực"
0f3feb90-b7c6-45ad-a9bf-389836f7fcd6,Печатка Room Signet,"Илья Мамиоф, директор по спец. проектам 10.GRAN"
7ef18bfc-fdcc-45c1-95ce-edc369498449,Все выше и выше... Rising R7,"Полку электромобилей на дорогах России прибыло: улицы городов украсила очередная «электричка» из Китая — Rising R7. Это детище концерна SAIC, одного из крупнейших в Поднебесной. Каждая третья модель производителя — электрическая"
df0caeaa-863c-4697-86a9-166f09e79739,Mini John Cooper Works: Кому погорячее?,"Хотя первый электрический Mini в исполнении John Cooper Works построен на новой платформе, чтобы получить значок JCW, он следует старой проверенной формуле: будь жестче, быстрее и агрессивнее"
6047949b-a4d0-466d-a6d8-640cf4955119,"#35 Провал реконструкции и вакцинации, прокуратура проверила главу Глазова, НЛО, ЧМЗ","В выпуске:
0:09 Уровень вакцинации как уровень доверия к власти
1:52 Прокуратура заинтересовалась бездействием главы Глазова
3:05 Реконструкция Кирова должна была уже закончиться, предварительно
4:02 Спасаемся от жары
4:49 В Глазове проблемы не только с опережающим  развитием, но и с фантазией
5:39 Отменять не мешки ворочать
6:57 ЧМЗ на Россия"
fcad2198-0977-4d42-a2bf-6d64250f3934,Голос. Жизнь. По-настоящему,Голос. Жизнь. По-настоящему»
47104fc9-a71e-4a5d-831b-88fd947c26c3,На районе. Oda Projesi,"Как создать пространство, в котором мирно сосуществуют богемная и дворовая жизнь? Ищем ответ в стамбульской квартире, ставшей центром притяжения для соседей и заодно ловим флешбеки из своего детства."
193b4d22-2109-441a-a835-74f469206736,"Что делать, если заправился плохим бензином или дизелем","Что делать, если заправился плохим бензином или дизелем. Экспертное мнение консультантов Тотек"
d46fbbc9-a2d5-4970-bf9c-e7dd6a310d97,"Hướng dẫn tập Gym để giảm cân, tăng cân, thể lực","Phần này dành cho bạn nữ mới đi tập gym nhé. Thật sự là không có giáo án nào chung cho tất cả mọi người. Người muốn giảm cân không thể tập giống người muốn tăng cân hay săn chắc. Nhưng gần như tất cả phụ nữ có một điểm chung đó là ""thể lực"
0f3feb90-b7c6-45ad-a9bf-389836f7fcd6,Печатка Room Signet,"Илья Мамиоф, директор по спец. проектам 10.GRAN"
0f3feb90-b7c6-45ad-a9bf-389836f7fcd6,Печатка Room Signet,"Илья Мамиоф, директор по спец. проектам 10.GRAN"
79223826-3ff9-418b-a98f-d0a20c9c32bc,Октан против бутана,"Спор о том, какое топливо заливать в современные турбомоторы, не утихает несколько лет. Но давайте попробуем разобраться с качеством топлива не с идейно-философской, а с технической точки зрения"
fd5f7215-770d-4fe2-aaca-94d54b99e4b4,Шестнадцать горшков,Двенадцатицилиндровые моторы всегда были аристократией среди двигателей внутреннего сгорания. Однако и над ними все еще есть высший свет — 16-цилиндровые двигатели
34a5ab01-84db-4baf-a617-21b74cc62e1a,what masseuses say about tantric massage,"Masseuses who specialise in tantric massage often speak passionately about the profound effect it can have on their clients' lives. Here are some common sentiments masseuses share about tantric massage:

Connection and presence: Masseuses often stress the importance of presence and connection in tantric massage. They describe the practice"
1f6b461a-2778-4237-9a14-d67f59e37eda,Какие разновидности павлинов считаются наиболее красивыми: об этом мало кто знает,"Далеко не все знают о том, какие разновидности павлинов считаются самыми красивыми."
4426fb7b-aaa7-45d2-92d5-cd9d2767f94b,ПРЯМОЙ ЭФИР. Весенняя призывная кампания в Ульяновской области - условия и сроки,"1 апреля в Ульяновской области стартовала весенняя призывная кампания, которая продлится до 15 июля. Срок военной службы по призыву составит 12 месяцев. На военную службу будут призваны граждане Российской Федерации в возрасте от 18 до 30 лет, не пребывающие в запасе. Военный комиссар Андрей Пожарский расскажет об организации призыва граждан."
701b6412-295a-4315-abc6-cbfd1b4770f0,Bestune T90: Форма натянутого лука,"Китайский автопром любопытен прежде всего ускоренными темпами эволюции своих моделей и технологий мобильности. И это несмотря на довольно неблагоприятную для автомобильного бизнеса экономическую и, я бы даже сказал, идеологическую обстановку. Заставив всех поверить в свое неоспоримое технологическое преимущество в сфере электрокаров, Китай"
643e823c-67f5-4825-9d43-c3018ad51635,"Масочки для ног — это зло. И сейчас вы поймете, почему","Я люблю масочки для ног. Они помогают избавиться от кожи на пятках, все сразу гладкое и мягкое!


Нет, нет, нет...Только не это.

Давайте перестанем их использовать и обойдемся увлажняющими средствами, если вам хочется. Почему?

Подробнее в новом выпуске моего подологического подкаста 😉


Таймкоды, для вашего удобства:


00:00 — приветствие"
44496ad6-942d-4c0e-898a-13ac68ad214a,Геология для стройки: почему фундамент без изысканий — это лотерея,"Перед тем как заливать фундамент, нужно знать, что у вас под ногами.
В этом выпуске обсуждаем, почему геологические изыскания — не формальность, а обязательный этап перед строительством.

Разбираем типы грунтов, уровень грунтовых вод, ошибки застройщиков и реальные последствия, когда фундамент делают «вслепую».


Поговорим о том:

— когда"
f2ae748c-cd89-4725-bbdd-f6d6a2383424,Неблагодарные,"Что делать если у родителей все чаще появляется чувство неблагодарности за их их труд? В чем истиные причины детской неблагодарности? На вопросы зрителей телеканала TiJi отвечает эксперт, доктор психологии, Виктория Шиманская"
1ffeb1b3-7cdd-4aec-8dc9-b18355fa98ad,"У нас растут цветочки, на деревьях почки и одуванчики","У нас начали просыпаться жуки, почки на деревьях появились и распустились цветы.


Телеграм-канал: https://t.me/weekday_k

Почта подкаста: weekday.k@yandex.ru

Донат: https://dalink.to/weekday_k"
6593b9b6-1062-4a1d-b68d-f2c98870b570,Operation Chicken Nugget 8+,"Support Esa MyllyläSomething strange is afoot at Cloverfield Farm. When Henrietta the chicken is mysteriously abducted by a dragon, the farm's bravest animals launch a top-secret rescue mission: Operation Chicken Nugget. Led by a spy-goggled sheep, a jetpack-wearing cow, and a rooster with a radio headset, the team infiltrates the dragon's"
63661085-5182-4aed-baf5-a06c578cf1ed,Безупречный край. Пасты для уреза. Базовая теория,Безупречный край. Пасты для уреза. Базовая теория
b00e8efc-89e9-42a4-b5b4-9a0d6d0ba3f8,Что такое прополис и в чем его уникальность?,"Здоровое питание, продукты пчеловодства, диеты"
e6e10373-d951-44e5-b74e-b7b96e50094a,Можно ли заливать 92-й бензин вместо 95-го,"Какой бензин выбрать - 92-й или 95-й расскажет доктор экономических наук Михаил Брыкин (основатель Тотек) https://vk.cc/aAym3L​  

Есть Вопросы? Мы Ответим: https://vk.cc/aAr0t8 

Видео и обзоры на Youtube: https://vk.cc/aAGfk4 

Слушай наш ПОДКАСТ за рулём: TOTEKPOST ROMAN PODANEV: https://vk.cc/aAr0oj"
858e588e-27e3-40ff-bf84-d843c7771ea4,#44 Значение сигналов_ХОРОЖИТЬ,Сплочённые в малом сотворят Великое
b4908b07-1129-4e12-9a34-ac7a00f77cec,Китайский креатив под запретом,"Почему недоработки новых технологий могут быть не только некомфортны, но и опасны?


Китайские автопроизводители большие затейники. Я уже 10 лет занимаюсь тест-драйвами и привык к тому, что в новой машине найду блок регулировки зеркал на дверном подлокотнике, рядом с блоком управления стеклоподъемниками, а кнопка включения двигателя окажется"
abd3e521-ae3e-4822-852b-600d33dd539f,Эмоциональное выгорание у родителей,"Как распознать родительское выгорание? Как перестать винить себя за неидеальность в воспитании детей? Где «золотая середина» между неидеальностью и вседозволенностью?


Гость в студии — Зоя Немирова (https://vk.com/id202357302), психолог, сертифицированный специалист по кинерджетике"
16f47098-2792-442b-b8a7-b58851d5b5e2,Подкаст об отношениях с родителями,"Поговорили о том, что такое работа над собой и её смысле"
4fa61640-dd62-4d7a-900f-cc596db0a520,Why people go to tantric massage,"People loock for tantric massage for a variety of reasons, from physical relaxation to spiritual exploration and emotional healing. Here are some common reasons why people choose to experience tantric massage:


Physical relaxation: Many people turn to tantric massage as a way to relax and release tension from their bodies. The gentle, flowing"
f7c9e279-8848-40ec-b38e-a03abcfc0043,Как правильно выбирать квартиру: бюджет,"Как правильно выбирать квартиру: бюджет

ООО ""Час-Пик"", УНП 190199788, лицензия № 02240/19 от 17.02.05
.
Решим вопрос с продажей Вашей недвижимости!
Ответим на все интересующие вопросы👇
.
📞(033) 684-02-02
📞(029) 684-02-02 - 🔺АН «Час-Пик»🔺️
.
#квартира #беларусь #продажаквартиры #минск #часпик #продатьквартиру"
971bd5ae-5a77-4bc6-8b8b-899ecb45db56,Тизер-выпуск,"Нижегородская Служба Добровольцев запускает подкаст «Это реальные люди». В подкасте будем рассказывать истории о том, как люди помогают друг другу и меняют отношение к добровольчеству.
В первом тизер-выпуске серебряный волонтёр Иван Васильевич Воронцов рассказывает, как он познакомился с добровольческой деятельностью. Слушайте и вдохновляйтесь!"
60bbbc76-7926-48b1-8f90-ec62b8d79bd6,Пикап формата XXL,"Foton Tunland V9 предлагает новые правила игры в сегменте пикапов формата XXL. Созданный с оглядкой на шикарные американские «грузовички», испытуемый предлагает максимум комфорта и пространства, умудряясь при этом оставаться трудолюбивым, динамичным и экономичным"
27c1e7f1-d8ed-4f9d-9f69-21df0e4a1122,Как отсрочить кредит в нашем Банке во время пандемии?,"Как отсрочить кредит в нашем Банке во время пандемии рассказывает руководитель Центра поддержки клиентов Касимов Ришат

Ссылки на страницы подкаста:

Сайт банка: https://www.dcb.kg/ 

Facebook: https://www.facebook.com/doscredobank.kg/ 

Instagram: https://www.instagram.com/doscredobank.kg/"
168b57b0-ae61-41e4-8029-d7b1ab36d821,Как повысить эффективность аграрного производства?,Рассказываем об этом в подкасте «Открытая студия» Радио «Комсомольская правда»
6f16e2c1-2288-4c71-a447-f70318439a0c,Почему жидкость внутри деревьев не замерзает зимой,Информация о разном и обо всем
082e5e20-6dba-4516-95a0-2cbfa5ca3e87,Любовь к себе как фундамент «экологических» отношений.,"Сегодня поговорим, почему любовь к себе — это база здоровых, или «экологических», отношений


❤️‍🩹 Отвечу на вопросы:


— Почему низкая самооценка ведёт к токсичным связям 

— Последствия «самоненавистной» динамики в паре 

— Переключение на любовь к себе: что это значит? 

— Как любовь к себе укрепляет «экологичные» отношения 

— Практики"
